Date,gross_ret,turnover,costs,net_ret,cum_gross,cum_net
2021-09-10,-0.00021787731338329674,0.2,0.0001,-0.00031787731338329674,1.017530248062315,1.012300497090417
2021-09-13,-0.009494981889563658,0.0,0.0,-0.009494981889563658,1.0078688167848802,1.0026887222037473
2021-09-14,-0.0031904275704975225,0.2,0.0001,-0.0032904275704975223,1.004653284324365,0.9993894475875812
2021-09-15,-0.0002922792922484208,0.19999999999999998,9.999999999999999e-05,-0.00039227929224842077,1.0043596449734675,0.998997407802401
2021-09-16,8.192001258805481e-05,0.2,0.0001,-1.807998741194519e-05,1.0044419221282268,0.9989793459418433
2021-09-17,0.0008359212766313913,0.19999999999999998,9.999999999999999e-05,0.0007359212766313912,1.0052815565020743,0.9997145160974372
2021-09-20,-0.000864267612251779,0.2,0.0001,-0.000964267612251779,1.0044127242115954,0.9987505237680665
2021-09-21,-0.002025226814599379,0.0,0.0,-0.002025226814599379,1.0023785606295974,0.9967278274262362
2021-09-22,-0.0017185710657343645,0.0,0.0,-0.0017185710657343645,1.000655901838387,0.9950148798216092
2021-09-23,-0.0006570064379777807,0.0,0.0,-0.0006570064379777807,0.9999984644686786,0.9943611486396826
2021-09-24,-0.0033771136761843734,0.0,0.0,-0.0033771136761843734,0.9966213559781579,0.9910030780055451
2021-09-27,-0.0062009698993203966,0.0,0.0,-0.0062009698993203966,0.9904413369487175,0.9848578977486988
2021-09-28,-0.0023949344170249853,0.0,0.0,-0.0023949344170249853,0.9880692949028148,0.9824992276735016
2021-09-29,0.0009939442454206526,0.0,0.0,0.0009939442454206526,0.9890513806925604,0.9834757771269781
2021-09-30,0.005202129037224345,0.2,0.0001,0.005102129037224345,0.994196553599368,0.9884935974468645
2021-10-01,0.00038866047500792957,0.19999999999999998,9.999999999999999e-05,0.0002886604750079296,0.9945829585041411,0.9887789364782458
2021-10-04,-0.0005798423226009764,0.2,0.0001,-0.0006798423226009765,0.9940062572114627,0.9881067227095315
2021-10-05,-0.0026272431265810248,0.19999999999999998,9.999999999999999e-05,-0.0027272431265810246,0.9913947611044254,0.9854119154416934
2021-10-06,0.000944531413790295,0.0,0.0,0.000944531413790295,0.9923311645997557,0.9863426679513514
2021-10-07,-0.0008165704108012095,0.0,0.0,-0.0008165704108012095,0.9915208563330277,0.9855372497137916
2021-10-08,0.0004418818123097634,0.0,0.0,0.0004418818123097634,0.991958991365967,0.9859727406997939
2021-10-11,-0.0013542702801810466,0.0,0.0,-0.0013542702801810466,0.9906156107848016,0.9846374671199954
2021-10-12,-0.0015951681539840058,0.19999999999999998,9.999999999999999e-05,-0.0016951681539840058,0.9890354123096383,0.9829683410425142
2021-10-13,-0.0001508082404926502,0.0,0.0,-0.0001508082404926502,0.988886257619323,0.9828201013165416
2021-10-14,-0.00026899125005692693,0.2,0.0001,-0.0003689912500569269,0.9886202558687218,0.9824574492987758
2021-10-15,-0.00016818317267761626,0.0,0.0,-0.00016818317267761626,0.9884539865775165,0.982292216487932
2021-10-18,-0.0036062686172893873,0.19999999999999998,9.999999999999999e-05,-0.003706268617289387,0.9848893559860874,0.9786515776729551
2021-10-19,-0.0018064135418363156,0.0,0.0,-0.0018064135418363156,0.9831102385162237,0.9768837282103072
2021-10-20,0.002827099469797334,0.0,0.0,0.002827099469797334,0.9858895889502853,0.9796454756803843
2021-10-21,4.081824070245599e-05,0.0,0.0,4.081824070245599e-05,0.9859298312288333,0.9796854630852138
2021-10-22,-0.0014977505325149965,0.2,0.0001,-0.0015977505325149965,0.9844531542990879,0.9781201701148722
2021-10-25,0.0009255985168770131,0.0,0.0,0.0009255985168770131,0.985364362678642,0.979025516693658
2021-10-26,0.02263105882995947,0.0,0.0,0.02263105882995947,1.0076642015393678,1.0011819007579836
2021-10-27,-0.010670212271160828,0.0,0.0,-0.010670212271160828,0.996912210610893,0.9904990773548517
